f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,label,source_type,source_file,frame_index,auto_label,needs_review
0.0,0.0,0.0,0.0,0.0,1.0,0.3066513240337372,0.8324544270833333,0.03125,-0.004166666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.4154834747314453,0.6131380208333334,0.125,-0.09583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.44653454422950745,0.04112955729166667,-0.58125,-0.19166666666666668,1.0,0.0,0.0,0.0,0.0,0.0,1.0,EXPLORE,real_media,mixkit_space_05.mp4,14,EXPLORE,1
0.0,0.0,0.0,0.0,0.0,1.0,0.3341190218925476,0.8217220052083334,0.028125,-0.004166666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.3254779279232025,0.6828255208333334,0.10625,-0.04583333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.33197665214538574,0.039658203125,-0.584375,-0.19166666666666668,1.0,0.0,0.0,0.0,0.0,0.0,1.0,EXPLORE,real_media,mixkit_space_05.mp4,28,EXPLORE,1
0.0,0.0,0.0,0.0,0.0,1.0,0.32585081458091736,0.8246744791666667,0.0375,-0.004166666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.4386260211467743,0.696171875,0.090625,-0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.3118026554584503,0.03923177083333333,-0.584375,-0.19166666666666668,1.0,0.0,0.0,0.0,0.0,0.0,1.0,EXPLORE,real_media,mixkit_space_05.mp4,42,EXPLORE,1
0.0,0.0,0.0,0.0,0.0,1.0,0.2912280261516571,0.827607421875,0.04375,-0.008333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.32986024022102356,0.6944791666666666,0.084375,-0.058333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.32718753814697266,0.0399609375,-0.584375,-0.19166666666666668,1.0,0.0,0.0,0.0,0.0,0.0,1.0,EXPLORE,real_media,mixkit_space_05.mp4,56,EXPLORE,1
0.0,0.0,0.0,0.0,0.0,1.0,0.41415560245513916,0.7136067708333333,0.065625,-0.058333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.30409395694732666,0.8041796875,0.01875,-0.008333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.4172001779079437,0.04143880208333333,-0.584375,-0.19166666666666668,1.0,0.0,0.0,0.0,0.0,0.0,1.0,EXPLORE,real_media,mixkit_space_05.mp4,70,EXPLORE,1
0.0,0.0,0.0,0.0,0.0,1.0,0.2950161099433899,0.7979817708333333,0.009375,-0.008333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.36955899000167847,0.70166015625,0.071875,-0.0625,0.0,0.0,0.0,0.0,0.0,1.0,0.27973276376724243,0.044794921875,-0.578125,-0.18333333333333332,1.0,0.0,0.0,0.0,0.0,0.0,1.0,EXPLORE,real_media,mixkit_space_05.mp4,84,EXPLORE,1
0.0,0.0,0.0,0.0,0.0,1.0,0.5348095893859863,0.7291666666666666,0.034375,-0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.32742103934288025,0.8146875,0.025,-0.0125,0.0,0.0,0.0,0.0,0.0,1.0,0.6482617855072021,0.22259765625,-0.05,-0.4583333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,EXPLORE,real_media,mixkit_space_05.mp4,98,EXPLORE,1
0.0,0.0,0.0,0.0,0.0,1.0,0.26053258776664734,0.8134765625,0.021875,-0.008333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.3271191120147705,0.7014583333333333,0.06875,-0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,EXPLORE,real_media,mixkit_space_05.mp4,112,EXPLORE,1
0.0,0.0,0.0,0.0,0.0,1.0,0.29617801308631897,0.8320703125,0.0375,-0.008333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.287882924079895,0.7195865885416667,0.0375,-0.07916666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.2532087564468384,0.09,-0.53125,-0.1625,1.0,0.0,0.0,0.0,0.0,0.0,1.0,EXPLORE,real_media,mixkit_space_05.mp4,126,EXPLORE,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,real_media,mixkit_space_05.mp4,140,EXPLORE,1
