row_id,source_file,frame_index,auto_label,final_label,drop_row,needs_review,detections_json
4,mixkit_table_05.mp4,40,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 6, ""keyboard"": 1, ""potted plant"": 1, ""dining table"": 1}"
5,mixkit_table_05.mp4,48,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""keyboard"": 1, ""potted plant"": 1, ""dining table"": 1}"
6,mixkit_table_05.mp4,56,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""keyboard"": 1, ""chair"": 1, ""potted plant"": 1, ""dining table"": 1}"
7,mixkit_table_05.mp4,64,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""keyboard"": 1, ""potted plant"": 1, ""chair"": 1, ""dining table"": 1}"
8,mixkit_table_05.mp4,72,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""keyboard"": 1, ""dining table"": 1, ""potted plant"": 1, ""knife"": 1}"
10,mixkit_table_05.mp4,88,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 3, ""keyboard"": 1, ""dining table"": 1, ""potted plant"": 1}"
11,mixkit_table_05.mp4,96,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 3, ""keyboard"": 1, ""potted plant"": 1, ""dining table"": 1, ""knife"": 1}"
13,mixkit_table_05.mp4,112,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 5, ""keyboard"": 1, ""dining table"": 1}"
14,mixkit_table_05.mp4,120,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""keyboard"": 1, ""potted plant"": 1, ""dining table"": 1}"
16,mixkit_table_05.mp4,136,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""dining table"": 1, ""keyboard"": 1}"
17,mixkit_table_05.mp4,144,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 3, ""keyboard"": 1, ""dining table"": 1}"
18,mixkit_table_05.mp4,152,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 3, ""dining table"": 1, ""potted plant"": 1}"
19,mixkit_table_05.mp4,160,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 5, ""dining table"": 1}"
20,mixkit_table_05.mp4,168,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 3, ""dining table"": 1}"
21,mixkit_table_05.mp4,176,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 2, ""dining table"": 1, ""remote"": 1}"
22,mixkit_table_05.mp4,184,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 5, ""dining table"": 1, ""remote"": 1}"
23,mixkit_table_05.mp4,192,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""dining table"": 1, ""cell phone"": 1}"
167,mixkit_table_07.mp4,8,MOVE_TO_CHAIR,,0,1,"{""person"": 15, ""chair"": 7, ""potted plant"": 3, ""laptop"": 5, ""tv"": 2, ""dining table"": 1}"
168,mixkit_table_07.mp4,16,AVOID_PERSON,,0,1,"{""person"": 17, ""chair"": 8, ""potted plant"": 3, ""laptop"": 10, ""tv"": 1}"
169,mixkit_table_07.mp4,24,MOVE_TO_CHAIR,,0,1,"{""person"": 18, ""chair"": 7, ""laptop"": 10, ""potted plant"": 2, ""tv"": 1, ""dining table"": 1}"
170,mixkit_table_07.mp4,32,MOVE_TO_CHAIR,,0,1,"{""potted plant"": 5, ""chair"": 9, ""person"": 16, ""laptop"": 6, ""tv"": 1}"
171,mixkit_table_07.mp4,40,MOVE_TO_CHAIR,,0,1,"{""person"": 14, ""potted plant"": 2, ""laptop"": 5, ""chair"": 8, ""tv"": 1}"
172,mixkit_table_07.mp4,48,MOVE_TO_CHAIR,,0,1,"{""potted plant"": 2, ""person"": 12, ""chair"": 9, ""laptop"": 6, ""backpack"": 1}"
173,mixkit_table_07.mp4,56,MOVE_TO_CHAIR,,0,1,"{""potted plant"": 7, ""laptop"": 4, ""chair"": 8, ""person"": 14, ""tv"": 1, ""dining table"": 2}"
174,mixkit_table_07.mp4,64,MOVE_TO_CHAIR,,0,1,"{""chair"": 7, ""potted plant"": 6, ""person"": 13, ""tv"": 1, ""laptop"": 5}"
