f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,label,source_type
0.0,1.0,0.0,0.0,0.0,0.0,0.7466506958007812,0.10005859285593033,-0.02500000037252903,-0.23333333432674408,1.0,0.0,0.0,0.0,0.0,0.0,0.5268992781639099,0.04436849057674408,0.36250001192092896,0.5249999761581421,0.0,0.0,1.0,0.0,0.0,0.0,0.80681973695755,0.038098957389593124,-0.4468750059604645,0.30416667461395264,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MOVE_TO_CHAIR,simulated
0.0,1.0,0.0,0.0,0.0,0.0,0.7222284078598022,0.09012369811534882,0.04062499850988388,-0.07500000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,MOVE_TO_CHAIR,simulated
1.0,0.0,0.0,0.0,0.0,0.0,0.8629388809204102,0.03427734225988388,0.21875,0.32083332538604736,0.0,0.0,1.0,0.0,0.0,0.0,0.4535885751247406,0.05657552182674408,0.19687500596046448,-0.06666667014360428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,AVOID_PERSON,simulated
0.0,1.0,0.0,0.0,0.0,0.0,0.9243690967559814,0.01666666753590107,0.10625000298023224,-0.02916666679084301,0.0,0.0,1.0,0.0,0.0,0.0,0.5886644124984741,0.03940104320645332,-0.84375,0.3541666567325592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,MOVE_TO_CHAIR,simulated
0.0,1.0,0.0,0.0,0.0,0.0,0.5379000306129456,0.048124998807907104,-0.34062498807907104,0.12083332985639572,0.0,0.0,1.0,0.0,0.0,0.0,0.7657455205917358,0.11925781518220901,0.22499999403953552,0.13750000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,CHECK_TABLE,simulated
0.0,1.0,0.0,0.0,0.0,0.0,0.9029111266136169,0.12093749642372131,-0.46562498807907104,0.23333333432674408,0.0,0.0,1.0,0.0,0.0,0.0,0.6383606195449829,0.07734374701976776,-0.16875000298023224,0.03750000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,MOVE_TO_CHAIR,simulated
1.0,0.0,0.0,0.0,0.0,0.0,0.7549038529396057,0.10743489861488342,0.3531250059604645,-0.36666667461395264,0.0,1.0,0.0,0.0,0.0,0.0,0.8685716986656189,0.06280273199081421,-0.862500011920929,0.20416666567325592,0.0,0.0,1.0,0.0,0.0,0.0,0.7638788819313049,0.04417968913912773,0.0031250000465661287,0.2291666716337204,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AVOID_PERSON,simulated
1.0,0.0,0.0,0.0,0.0,0.0,0.8498677611351013,0.06994791328907013,0.32499998807907104,0.17083333432674408,0.0,1.0,0.0,0.0,0.0,0.0,0.7072938084602356,0.04142903536558151,-0.20937499403953552,0.09583333134651184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,AVOID_PERSON,simulated
0.0,1.0,0.0,0.0,0.0,0.0,0.7595221400260925,0.03533528745174408,-0.3187499940395355,-0.1875,0.0,0.0,1.0,0.0,0.0,0.0,0.7387478351593018,0.09518229216337204,0.4281249940395355,-0.0833333358168602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,CHECK_TABLE,simulated
1.0,0.0,0.0,0.0,0.0,0.0,0.7294291257858276,0.06746093928813934,0.8031250238418579,-0.20000000298023224,0.0,1.0,0.0,0.0,0.0,0.0,0.8411903977394104,0.061650391668081284,-0.05937499925494194,0.09166666865348816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,MOVE_TO_CHAIR,simulated
